AGEP,SCHL,MAR,RELP,DIS,ESP,CIT,MIG,MIL,ANC,NATIVITY,DEAR,DEYE,DREM,SEX,RAC1P,ESR
29,18,5,16,2,0,1,1,4,2,1,2,2,2,1,1,0
17,13,5,16,2,0,1,1,4,1,1,2,2,2,1,2,0
37,13,5,16,2,0,1,1,4,1,1,2,2,2,1,1,0
86,12,2,16,1,0,1,1,4,1,1,2,1,2,2,2,0
22,19,5,17,2,0,1,1,4,1,1,2,2,2,2,1,0
33,16,5,16,2,0,1,1,4,1,1,2,2,2,1,2,0
72,16,1,16,1,0,1,3,2,1,1,2,2,1,1,1,0
33,13,1,16,1,0,1,1,4,1,1,2,2,2,1,2,0
25,16,5,16,2,0,1,1,4,1,1,2,2,2,1,2,0
21,16,5,17,2,0,1,3,1,1,1,2,2,2,1,2,0
22,1,5,16,1,0,1,1,4,1,1,1,2,1,1,1,0
81,17,2,16,1,0,1,1,4,1,1,2,2,1,2,1,0
76,16,2,16,1,0,1,3,4,1,1,2,2,2,2,9,0
20,19,5,17,2,0,1,1,4,1,1,2,2,2,1,1,1
50,17,4,16,2,0,1,3,4,2,1,2,2,2,1,1,0
40,16,3,16,2,0,1,1,4,1,1,2,2,2,2,1,0
73,19,3,16,1,0,1,3,4,1,1,2,1,1,2,1,0
50,17,5,16,2,0,1,3,4,1,1,2,2,2,1,1,0
32,1,5,17,1,0,1,1,4,4,1,2,2,1,2,1,0
19,19,5,17,2,0,1,1,4,2,1,2,2,2,2,1,0
18,19,5,17,2,0,1,1,4,2,1,2,2,2,2,9,1
75,12,2,16,1,0,1,1,4,1,1,1,1,1,2,1,0
30,16,5,16,2,0,1,3,4,1,1,2,2,2,1,2,0
31,18,5,16,2,0,1,3,4,2,1,2,2,2,1,9,0
18,18,5,17,2,0,1,3,4,4,1,2,2,2,2,1,1
39,22,5,17,2,0,1,1,4,1,1,2,2,2,1,1,1
93,16,2,16,1,0,1,1,4,4,1,1,2,1,2,1,0
49,10,1,16,2,0,1,3,4,1,1,2,2,2,1,1,0
40,13,1,16,2,0,1,3,4,2,1,2,2,2,1,1,0
62,16,2,16,1,0,1,1,4,2,1,2,1,2,2,2,0
65,16,5,16,1,0,1,1,4,4,1,2,2,2,2,1,0
40,18,5,16,2,0,1,1,4,1,1,2,2,2,1,1,0
20,19,5,17,2,0,1,1,4,1,1,2,2,2,2,2,1
84,16,2,16,1,0,1,1,4,1,1,2,2,1,2,1,0
23,18,5,16,2,0,1,1,4,2,1,2,2,2,1,2,0
29,13,5,16,1,0,1,1,4,1,1,1,1,1,1,2,0
20,19,5,17,2,0,1,1,4,1,1,2,2,2,2,2,1
19,13,5,16,2,0,1,1,4,1,1,2,2,2,1,2,0
50,15,3,16,1,0,1,1,4,2,1,2,1,1,1,1,0
25,17,5,16,2,0,1,3,4,1,1,2,2,2,1,1,0
65,16,5,17,1,0,1,1,2,4,1,2,2,2,1,1,0
37,13,5,16,2,0,1,1,4,2,1,2,2,2,1,2,0
19,18,5,17,2,0,1,1,4,4,1,2,2,2,2,1,1
36,16,5,16,2,0,1,1,4,1,1,2,2,2,1,2,0
52,16,1,16,2,0,1,1,4,1,1,2,2,2,1,2,0
18,19,5,17,2,0,1,1,4,2,1,2,2,2,2,9,1
19,19,5,17,2,0,1,3,4,2,1,2,2,2,2,1,1
84,16,2,16,1,0,1,1,4,1,1,1,2,2,2,1,0
19,16,5,17,2,0,1,1,4,1,1,2,2,2,1,2,1
26,13,5,16,2,0,1,3,4,1,1,2,2,2,1,2,0
56,1,5,17,1,0,1,1,4,1,1,2,2,1,1,1,0
44,14,1,16,1,0,1,3,4,1,1,2,2,2,1,2,0
39,16,4,16,2,0,1,3,4,1,1,2,2,2,1,2,0
42,19,5,16,1,0,1,1,4,2,1,1,2,1,1,2,0
59,22,5,17,2,0,1,3,4,2,1,2,2,2,2,1,1
